epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4938,2.34345,4.93504,2.18767,0.00137,0.24607,0.00538,0.00181,2.35441,3.9095,2.29096,0.00020907,0.00020907,0.00020907
2,28.4865,2.18716,4.59225,2.00255,0.00217,0.26472,0.00838,0.00315,2.4859,4.04141,2.39722,0.000423,0.000423,0.000423
3,38.7396,2.09257,4.21903,1.95271,0.78694,0.01117,0.0228,0.00706,2.69319,3.99749,2.4547,0.000632611,0.000632611,0.000632611
4,47.6112,2.20868,4.00197,2.03815,0.63534,0.01917,0.01208,0.00363,2.80564,3.95898,2.55289,0.000837903,0.000837903,0.000837903
5,56.3862,2.2163,3.81538,2.00793,0.27462,0.05225,0.02294,0.00825,2.75629,4.11732,2.75126,0.000873004,0.000873004,0.000873004
6,65.276,2.20293,3.66149,1.97077,0.32271,0.09859,0.03344,0.00986,2.60799,6.90778,2.543,0.000864004,0.000864004,0.000864004
7,74.1328,2.19432,3.59823,1.96469,0.07224,0.21594,0.04008,0.01241,2.52775,5.42064,2.40523,0.000855005,0.000855005,0.000855005
8,82.8909,2.19284,3.57774,1.98108,0.17146,0.16183,0.03855,0.01205,2.53791,3.99157,2.49485,0.000846006,0.000846006,0.000846006
9,91.5574,2.12421,3.5332,1.97674,0.08269,0.20433,0.04928,0.0137,2.55541,4.46837,2.57664,0.000837007,0.000837007,0.000837007
10,100.24,2.1038,3.40181,1.98421,0.07375,0.11783,0.04209,0.01543,2.57523,3.75265,2.51194,0.000828008,0.000828008,0.000828008
11,109.029,2.12207,3.29772,1.984,0.34359,0.07096,0.04022,0.01364,2.59264,4.18788,2.55551,0.000819009,0.000819009,0.000819009
12,117.95,2.07547,3.29847,1.97333,0.1346,0.189,0.05839,0.0195,2.51117,3.5794,2.42433,0.00081001,0.00081001,0.00081001
13,127.117,2.02406,3.11376,1.88461,0.22342,0.11277,0.0452,0.01644,2.61424,3.82297,2.39064,0.000801011,0.000801011,0.000801011
14,136.2,2.0133,3.17627,1.88533,0.09198,0.18407,0.06798,0.02223,2.44004,3.36253,2.30061,0.000792012,0.000792012,0.000792012
15,145.273,2.01131,3.12925,1.88131,0.14548,0.17797,0.08561,0.03025,2.35674,3.17866,2.21335,0.000783013,0.000783013,0.000783013
16,154.271,2.00378,3.05106,1.90432,0.18547,0.17695,0.09564,0.033,2.4221,3.07363,2.25109,0.000774013,0.000774013,0.000774013
17,163.537,1.96058,2.97107,1.8549,0.16386,0.13385,0.08017,0.02876,2.49477,3.12798,2.37944,0.000765014,0.000765014,0.000765014
18,172.775,2.00866,2.92469,1.86232,0.16834,0.18611,0.09132,0.03052,2.40485,3.04675,2.25385,0.000756015,0.000756015,0.000756015
