epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,732.526,2.05798,3.53742,1.79098,0.29058,0.24649,0.17926,0.07658,2.14493,2.78409,1.82233,0.00999702,0.00333234,0.00999702,0.00333234,0.00999702,0.00333234,0.00999702,0.00333234
2,1268.44,2.07671,2.78948,1.80137,0.2916,0.26479,0.19509,0.08175,2.1407,2.85833,1.85679,0.0196011,0.00653369,0.0196011,0.00653369,0.0196011,0.00653369,0.0196011,0.00653369
3,1765.34,2.14037,2.8367,1.88338,0.22381,0.25145,0.16417,0.06459,2.21946,2.8232,1.96198,0.0288091,0.00960305,0.0288091,0.00960305,0.0288091,0.00960305,0.0288091,0.00960305
4,2252.86,2.13485,2.80808,1.90353,0.31115,0.2868,0.23098,0.09922,2.1101,2.60546,1.89222,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2757.9,2.03679,2.62463,1.81665,0.36247,0.32627,0.28569,0.12558,2.00183,2.50385,1.77528,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3257.51,1.98695,2.50394,1.78593,0.39752,0.35958,0.31897,0.14211,1.95997,2.38203,1.75518,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3754.3,1.94217,2.42165,1.74643,0.41792,0.35109,0.32793,0.15207,1.93676,2.32066,1.72026,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4244.33,1.9165,2.36312,1.71804,0.45238,0.3904,0.36666,0.17374,1.91099,2.24407,1.67269,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4728.73,1.89094,2.30369,1.69069,0.45922,0.3892,0.37603,0.18073,1.8717,2.23837,1.66471,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5212.34,1.87399,2.25589,1.67744,0.49575,0.40848,0.40467,0.19525,1.85727,2.14984,1.64788,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5705.05,1.85008,2.22415,1.65724,0.51004,0.41341,0.4172,0.20602,1.83038,2.14258,1.62135,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6185.84,1.8332,2.18624,1.63998,0.50502,0.4227,0.41976,0.20665,1.82504,2.09529,1.60653,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6670.05,1.82793,2.17517,1.64112,0.51992,0.42821,0.43667,0.21703,1.79665,2.07259,1.60859,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,7158.02,1.81353,2.12915,1.62901,0.51294,0.45326,0.45322,0.2273,1.76724,1.99928,1.56686,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7642.57,1.80595,2.10304,1.61732,0.52044,0.44793,0.45578,0.23116,1.774,2.02264,1.57325,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,8126.17,1.79319,2.08428,1.60536,0.54196,0.4505,0.47273,0.24183,1.77168,1.96927,1.56847,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8607.85,1.77257,2.06084,1.59308,0.51822,0.46208,0.46738,0.24026,1.75169,1.97096,1.5501,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,9082.54,1.76799,2.02693,1.58404,0.54047,0.46765,0.48415,0.24708,1.7447,1.95346,1.53931,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,9561.1,1.76178,2.01376,1.57146,0.55456,0.47,0.48646,0.25213,1.73636,1.92933,1.53916,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,10050.1,1.76199,2.00913,1.57115,0.54424,0.486,0.49916,0.25866,1.73179,1.92102,1.53312,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,10558.4,1.74822,1.99237,1.56666,0.56066,0.48972,0.50534,0.26402,1.71182,1.89439,1.51979,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,11052.4,1.74199,1.97386,1.56199,0.56156,0.49236,0.50794,0.26549,1.71234,1.89097,1.51953,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,11550,1.73597,1.9552,1.54731,0.55364,0.49832,0.51254,0.26847,1.70701,1.87177,1.51039,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,12046.7,1.72873,1.94743,1.54583,0.55758,0.4959,0.51506,0.2714,1.70499,1.86448,1.51093,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,12548.6,1.71667,1.92495,1.53825,0.57455,0.48938,0.52032,0.27475,1.70468,1.86083,1.50706,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,13052.2,1.7069,1.9129,1.53026,0.57346,0.49265,0.52478,0.27699,1.69659,1.86088,1.50382,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
